session_day,session_date,session_start_time,session_end_time,session_duration,session_chair,session_room,session_type,session_speakers,session_id,session_title,session_topic,paper_title,paper_authors,paper_presenter,paper_start_time,paper_end_time
Tuesday,2025-12-16,09:00,10:30,1h 30m,,symphony-4f,session,,Session 1,Session 1,Artificial Intelligence,,,,,
Tuesday,2025-12-16,09:00,10:30,1h 30m,,symphony-4f,session,,Session 1,Session 1,Artificial Intelligence,"Understanding Consumer Complaint Dynamics in the Electronic Vehicle Market: A Text-Mining Approach.","Elena Kim; Jaewon Choi",,09:00,09:18
Tuesday,2025-12-16,09:00,10:30,1h 30m,,symphony-4f,session,,Session 1,Session 1,Artificial Intelligence,"Human-Centered E-Business Systems based on Situation Awareness: a contextual framework driven by Artificial Intelligence.","Francesco Colace; Muhammad Khan; Angelo Lorusso; Domenico Santaniello; Allan Tucker",,09:18,09:36
Tuesday,2025-12-16,09:00,10:30,1h 30m,,symphony-4f,session,,Session 1,Session 1,Artificial Intelligence,"Optimizing YOLO for Accurate Car Parts Segmentation in Automotive Industry Applications.","Fx Hendra Prasetya; Kung-Ming Lan; Kun-Lin Tsai; Chao-Tung Yang",,09:36,09:54
Tuesday,2025-12-16,09:00,10:30,1h 30m,,symphony-4f,session,,Session 1,Session 1,Artificial Intelligence,"Enhancing Explainable Artificial Intelligence in Healthcare through Blockchain-Enabled Immutable Federated Machine Learning.","Muammar Shahrear Famous; Samia Sayed; Rashed Mazumder; Risala T. Khan; M. Shamim Kaiser; Mohammad Shahadat Hossain; Karl Andersson; Mufti Mahmud",,09:54,10:12
Tuesday,2025-12-16,09:00,10:30,1h 30m,,symphony-4f,session,,Session 1,Session 1,Artificial Intelligence,"Data-Driven Innovation in Cybersecurity for E-Business Information Systems: A Case Study on CVE Report Generation via LLM.","Arcangelo Castiglione; Francesco Colace; Marco Fusco; Antonio Oricchio; Domenico Santaniello; Carmine Valentino",,10:12,10:30
Tuesday,2025-12-16,10:30,10:45,15m,,common,break,,,Break,Break (15M),,,,,
Tuesday,2025-12-16,10:45,12:00,1h 15m,,symphony-4f,session,,Session 2,Session 2,Application,,,,,
Tuesday,2025-12-16,10:45,12:00,1h 15m,,symphony-4f,session,,Session 2,Session 2,Application,"Exploring the Role of Digital Management Capability in Shaping Ethical Leadership and its Impact on ESG: A Dynamic Capabilities Micro-Foundations Perspective.","Ka Wai Chung; Kam Pui Liu; William Yeoh",,10:45,11:03
Tuesday,2025-12-16,10:45,12:00,1h 15m,,symphony-4f,session,,Session 2,Session 2,Application,"Resolving Ambiguity in Pointing Gestures using Contextual Reasoning from Large Language Models.","Sumin Yeon; Minjae Lee; Jiho Bae; Sejik Park; Illhwan Ha; Suwon Lee",,11:03,11:21
Tuesday,2025-12-16,10:45,12:00,1h 15m,,symphony-4f,session,,Session 2,Session 2,Application,"A Preliminary Study of Retrieval-Augmented Generation for Sensitive Web Path Discovery in Web-based Information Systems.","Kinsey K.S. Ng; Farah Yan; Kevin Hung",,11:21,11:39
Tuesday,2025-12-16,12:00,13:40,1h 40m,,common,lunch,,,Lunch,Lunch - Complement of MobiSec conference,,,,,
Tuesday,2025-12-16,13:40,14:00,20m,,common,ceremony,,,Opening Ceremony,,,,,,
