session_day,session_date,session_start_time,session_end_time,session_duration,session_chair,session_room,session_type,session_speakers,session_id,session_title,session_topic,paper_title,paper_authors,paper_presenter,paper_start_time,paper_end_time
Tuesday,12/16/25,09:00,10:30,1h 30m,,,session,,1A,Session 1A,System Operation Security,TGPOA: Task and Geography Privacy-Preserving Offloading Algorithm in 6G Network,Aoran Huang; Huachun Zhou,,09:00,09:18
Tuesday,12/16/25,09:00,10:30,1h 30m,,,session,,1A,Session 1A,System Operation Security,Proxy-CAN: Multi-Resolution Feature Fusion for In-Vehicle Signal Regression,Woong-Kyo Jung; Byung-Il Kwak; Mee Lan Han,Woong-Kyo Jung,09:18,09:36
Tuesday,12/16/25,09:00,10:30,1h 30m,,,session,,1A,Session 1A,System Operation Security,Error-driven Prompting Strategy to enhance Policy as Code Generation for Kubernetes,Jeongeun Ryu; Jueun Son; Yumin Lee; Seoyun Kang; Seongmin Kim,,09:36,09:54
Tuesday,12/16/25,09:00,10:30,1h 30m,,,session,,1A,Session 1A,System Operation Security,Development and Evaluation of a Disaster Response Task Visualization System Aimed at Supporting Decision-Making by Local Government Employees,Yuta Seri; Tomoyuki Ishida,Yuta Seri,09:54,10:12
Tuesday,12/16/25,09:00,10:30,1h 30m,,,session,,1A,Session 1A,System Operation Security,Federated Learning-based Intrusion Detection System for Internet of Autonomous Vehicles against Poisoning Attacks,Ulysses Lam; Jin-Hee Cho; Hyuk Lim; Terrence Moore; Frederica Free-Nelson; Hyunjae Kang; Dan Dongseong Kim,,10:12,10:30
Tuesday,12/16/25,09:00,10:30,1h 30m,,,session,,1B,Session 1B,AI-driven Security 1,PoisoningGuard: An Agentic LLM Framework for Explainable Red-Teaming Against Poisoning Attacks,Junseok Shin; Jinhyuk Jang; Daeseon Choi,,09:00,09:18
Tuesday,12/16/25,09:00,10:30,1h 30m,,,session,,1B,Session 1B,AI-driven Security 1,Self-HarmLLM: Can Large Language Model Harm Itself?,Heehwan Kim; Sungjune Park; Daeseon Choi,,09:18,09:36
Tuesday,12/16/25,09:00,10:30,1h 30m,,,session,,1B,Session 1B,AI-driven Security 1,Beyond Fixed and Dynamic Prompts: Embedded Jailbreak Templates for Advancing LLM Security,Hajun Kim; Hyunsik Na; Daeseon Choi,,09:36,09:54
Tuesday,12/16/25,09:00,10:30,1h 30m,,,session,,1B,Session 1B,AI-driven Security 1,On the Effectiveness of Instruction-Tuning Local LLMs for Identifying Software Vulnerabilities,Sangryu Park; Gihyuk Ko; Homook Cho,,09:54,10:12
Tuesday,12/16/25,09:00,10:30,1h 30m,,,session,,1B,Session 1B,AI-driven Security 1,Aligning AI-Driven Cyber Threat with Policy Responses: A CCI-Based Framework,Su Kyeong Heo; Jungmin Kang; Dooho Choi,,10:12,10:30
